gene_id	gene_symbol	gnomad_score	expression_score	tau_restricted_panel_specificity	tau_specificity	annotation_score	localization_score	compartment_cilia	compartment_centrosome	compartment_basal_body	compartment_transition_zone	compartment_stereocilia	in_cilia_compendium	in_centrosome_compendium	animal_model_score	literature_score	evidence_count	available_weight	weighted_sum	composite_score	quality_flag	gnomad_contribution	expression_contribution	annotation_contribution	localization_contribution	animal_model_contribution	literature_contribution	has_direct_localization_signal	has_cilia_signal	has_cilia_signal_semantics_version	confidence_tier	cellxgene_photoreceptor_expr	cellxgene_hair_cell_expr	hpa_retina_tpm	compartment_cilia_right	compartment_centrosome_right	compartment_basal_body_right	compartment_transition_zone_right	compartment_stereocilia_right	in_cilia_proteomics	in_centrosome_proteomics	cochlear_hair_cell_expression	hair_cell_sample_count	hair_cell_developmental_consistency	photoreceptor_q75	hair_cell_q75	retina_hair_concordant_q75	retina_concordant_q75	direct_protein	expression_or_protein	expression_and_protein
ENSG00000136811	ODF2	0.8055130168453292	0.5718364671748963	0.887805960165454	0.887805960165454	0.792355727029477	1.0	false	true	false	false	false	false	false	0.4004402789546017	0.9944233074477511	6	1.0	0.7535527938188196	0.7535527938188196	sufficient_evidence	0.16110260336906584	0.11436729343497927	0.11885335905442154	0.15	0.060066041843190254	0.14916349611716265	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.09096529334783554			false	true	false	false	false	false	false	0.03736326298903345	2	0.7629619050340338	false	false	false		true	true	false
ENSG00000107643	MAPK8	0.8116385911179173	0.7332475207420752	0.44340168543904546	0.44340168543904546	0.8676140582743934		false	false	false	false	false	false	false	0.33509997290687016	0.9780059415229062	5	0.85	0.636085218277624	0.7483355509148518	sufficient_evidence	0.16232771822358347	0.14664950414841504	0.130142108741159		0.050264995936030524	0.14670089122843594	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	1.1083178520202637			false	false	false	false	false	false	false	0.46061862410486354	2	0.9694917145052494	true	false	false		false	true	false
ENSG00000150753	CCT5	0.9127105666156201	0.5641641935330632	0.5635103941776312	0.5635103941776312	0.8158229036156417		false	false	false	false	false	false	false	0.47449346488843125	0.9767029759733152	5	0.85	0.6354278537013449	0.7475621808251117	sufficient_evidence	0.18254211332312403	0.11283283870661265	0.12237343554234625		0.07117401973326469	0.14650544639599727	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.11455939710140228			false	false	false	false	false	false	false	0.4787014077235065	2	0.4948247379902213	false	false	false		false	false	false
ENSG00000176697	BDNF	0.9167942827973455	0.7571915651495703	0.8538562330888761	0.8538562330888761	0.8009025018034261		false	false	false	false	false	false	false	0.22339998193791344	0.9775889925470371	5	0.85	0.6350808910326398	0.7471539894501644	sufficient_evidence	0.18335885655946912	0.15143831302991406	0.12013537527051392		0.033509997290687016	0.14663834888205557	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.008932555094361305			false	false	false	false	false	false	false	7.3403958557723	2	0.9493063759137353	false	true	false		false	false	false
ENSG00000049759	NEDD4L	0.7978560490045941	0.9125886445292901	0.8518457268416793	0.8518457268416793	0.8510262396012787		false	false	false	false	false	false	false	0.12765713253595054	0.9561682389117632	5	0.85	0.6323166803641257	0.7439019768989714	sufficient_evidence	0.15957120980091882	0.18251772890585805	0.12765393594019178		0.01914856988039258	0.14342523583676448	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	1.3910597562789917			false	false	false	false	false	false	false	0.45567806141652645	2	0.46670134055327217	true	false	false		false	true	false
ENSG00000140350	ANP32A	0.9469116896375701	0.7593040408540639	0.556402714810549	0.556402714810549	0.7683708261338531	1.0	false	true	false	false	false	false	false	0.0	0.9131964350862564	6	1.0	0.7434782352813433	0.7434782352813433	sufficient_evidence	0.18938233792751402	0.1518608081708128	0.11525562392007796	0.15	0.0	0.13697946526293844	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.41209256649017334			false	true	false	false	false	false	false	0.14344197317609858	2	0.7671671994021219	false	false	false		true	true	false
ENSG00000001617	SEMA3F	0.8075548749361919	0.8223996239694478	0.7741673615325175	0.7741673615325175	0.8224201603463086		false	false	false	false	false	false	false	0.31358151944049056	0.891697503518007	5	0.85	0.6301457772768488	0.741347973266881	sufficient_evidence	0.1615109749872384	0.16447992479388956	0.12336302405194628		0.047037227916073586	0.13375462552770104	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.09930899739265442			false	false	false	false	false	false	false	-0.13723688843437898	2	0.984039437200026	false	false	false		false	false	false
ENSG00000124140	SLC12A5	0.9254721796835119	0.9902825827859078	0.9953650499642763	0.9953650499642763	0.8413693953384758		false	false	false	false	false	false	false	0.33509997290687016	0.4697190806275082	5	0.85	0.6300792198248121	0.7412696703821319	sufficient_evidence	0.18509443593670238	0.19805651655718157	0.12620540930077137		0.050264995936030524	0.07045786209412623	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.5693682432174683			false	false	false	false	false	false	false	1.0166014094967695	2	0.9227931712248808	false	true	false		false	false	false
ENSG00000183207	RUVBL2	0.8933129147524246	0.5593499356067282	0.8795051894691461	0.8795051894691461	0.8962863381497483	1.0	false	true	false	false	false	false	false	0.1656079202397898	0.898837754729765	6	1.0	0.734642372039726	0.734642372039726	sufficient_evidence	0.17866258295048493	0.11186998712134565	0.13444295072246223	0.15	0.024841188035968468	0.13482566320946474	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.0788491740822792			false	true	false	false	false	false	false	0.415753179324581	2	0.5429420946289159	false	false	false		true	true	false
ENSG00000072832	CRMP1	0.866258295048494	0.9296168578322221	0.8822260872851094	0.8822260872851094	0.7981460128441429	1.0	false	true	false	false	false	false	false	0.10116588400953613	0.5970709334445198	6	1.0	0.733632455120873	0.733632455120873	sufficient_evidence	0.17325165900969883	0.18592337156644445	0.11972190192662142	0.15	0.01517488260143042	0.08956064001667796	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.08166275173425674			false	true	false	false	false	false	false	2.73391575088684	2	0.7950261199023033	false	true	false		true	true	false
ENSG00000120438	TCP1	0.9474221541602859	0.5680290267061512	0.39515508467882976	0.39515508467882976	0.8305024672444985		false	false	false	false	false	false	false	0.31358151944049056	0.9874394121019441	5	0.85	0.6228187459913274	0.7327279364603851	sufficient_evidence	0.18948443083205718	0.11360580534123024	0.12457537008667477		0.047037227916073586	0.1481159118152916	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.10527563095092773			false	false	false	false	false	false	false	0.03543765126993201	2	0.14104290349127924	false	false	false		false	false	false
ENSG00000140443	IGF1R	0.8514548238897396	0.621763888527536	0.2922324546978026	0.2922324546978026	0.8736880105098914		false	false	false	false	false	false	false	0.3540805940333764	0.9381351957054256	5	0.85	0.619529312520759	0.7288580147303048	sufficient_evidence	0.17029096477794792	0.12435277770550719	0.1310532015764837		0.053112089105006456	0.14072027935581383	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	1.674727439880371			false	false	false	false	false	false	false	0.311790254232852	2	0.9139226399225019	true	false	false		false	true	false
ENSG00000164690	SHH	0.7682491066870851	0.5798114240241335	0.578643324459518	0.578643324459518	0.9459008539046931		false	false	false	false	false	false	false	0.3864184805595095	0.996143221973211	5	0.85	0.6188814896078558	0.7280958701268893	sufficient_evidence	0.15364982133741703	0.11596228480482672	0.14188512808570397		0.057962772083926424	0.14942148329598165	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.0008816351182758808			false	false	false	false	false	false	false	-0.0172783761838823	1	1.0	false	false	false		false	false	false
ENSG00000138175	ARL3	0.7998979070954568	0.663098836441761	0.3961013483215561	0.3961013483215561	0.8361058377890631	1.0	false	true	false	false	false	false	false	0.06382856626797527	0.996716526815031	6	1.0	0.7270969883382541	0.7270969883382541	sufficient_evidence	0.15997958141909138	0.1326197672883522	0.12541587566835946	0.15	0.00957428494019629	0.14950747902225464	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.9976904392242432			false	true	false	false	false	false	false	0.6664875752417689	2	0.6882992570815427	true	true	true		true	true	true
ENSG00000175203	DCTN2	0.7575293517100561	0.6861930497929393	0.3465980186199217	0.3465980186199217	0.7861515090389664	1.0	false	true	false	false	false	false	false	0.13439207976021025	0.9905665294209621	6	1.0	0.7254109980336199	0.7254109980336199	sufficient_evidence	0.15150587034201124	0.13723860995858786	0.11792272635584494	0.15	0.020158811964031537	0.1485849794131443	true	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.1484604924917221			false	true	false	false	false	false	false	0.17719148911121102	2	0.7513307015710974	false	false	false		true	true	false
ENSG00000163914	RHO	0.5553854007146504	0.8768003004561199	0.7109046967136007	0.7109046967136007	0.8396500894643935		false	false	false	false	false	false	false	0.3601954866992751	0.9962474592171783	5	0.85	0.615851095541281	0.7245307006368013	sufficient_evidence	0.11107708014293008	0.17536006009122398	0.125947513419659		0.054029323004891265	0.14943711888257674	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	5.803857326507568			false	false	false	false	false	false	false				true	false	false		false	true	false
ENSG00000115414	FN1	0.8325676365492598	0.7616583467335155	0.9367809283603383	0.9367809283603383	0.8793646795893528		false	false	false	false	false	false	false	0.17714532132751235	0.9182780007296607	5	0.85	0.615063396903534	0.7236039963570988	sufficient_evidence	0.16651352730985197	0.1523316693467031	0.13190470193840292		0.02657179819912685	0.1377417001094491	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.06854783743619919			false	false	false	false	false	false	false	-0.5013189777229841	2	0.8382606887577662	false	false	false		false	false	false
ENSG00000177807	KCNJ10	0.6748340990301174	0.9081228218555002	0.9822689950441337	0.9822689950441337	0.792355727029477		false	false	false	false	false	false	false	0.22601314544283713	0.9697190806275082	5	0.85	0.6148045771420968	0.7232995025201139	sufficient_evidence	0.13496681980602349	0.18162456437110006	0.11885335905442154		0.03390197181642557	0.14545786209412623	false	true	v2: positive aggregate localization or positive animal-model signal	HIGH	0.011346131563186646			false	false	false	false	false	false	false	-0.05619870437416705	2	0.9608117509114783	false	false	false		false	false	false
