gene_symbol	GSM4037819_hair_cell_mean	GSM4037820_hair_cell_mean	cochlear_hair_cell_expression	hair_cell_sample_count	hair_cell_developmental_consistency
KIF1B	0.0106179919567353	0.0635991999805192	0.03710859596862725	2	0.9489145030426624
PGD	-0.134625768441819	-0.172960558111965	-0.15379316327689202	2	0.9667749897552944
RP4-736L20.3		-0.0224717653301568	-0.0224717653301568	1	1.0
APITD1-CORT	0.106045863539354	-0.0666627712409774	0.019691546149188298	2	0.830626589548029
APITD1	-0.0709508622872766	-0.0121919290458997	-0.04157139566658815	2	0.943586264478997
CORT	-0.0588300891193786	0.166675078248784	0.0539224945647027	2	0.7860324942952261
DFFA	-0.0700261574890724	-0.0540255459279343	-0.062025851708503346	2	0.9849338775177671
RP5-1113E3.3		-0.019039605269511	-0.019039605269511	1	1.0
PEX14	-0.044937901993629	0.209210452514359	0.08213627526036499	2	0.7651420063089196
CASZ1	2.80234905291188	3.68335669660549	3.242852874758685	2	0.7923548919325378
RP4-734G22.3		-0.025978931454345	-0.025978931454345	1	1.0
C1orf127		-0.0147783157748762	-0.0147783157748762	1	1.0
TARDBP	0.13931323015796	0.178255022212281	0.1587841261851205	2	0.9663942651833497
RP4-635E18.9		-0.0194554127366451	-0.0194554127366451	1	1.0
RP4-635E18.8	-0.0672451526869295	-0.0551964225828413	-0.0612207876348854	2	0.9886463493323185
SRM	0.110357772944088	-0.135128912929535	-0.0123855699927235	2	0.757516609135996
EXOSC10	-0.0303501382423787	-0.139804514383103	-0.08507732631274086	2	0.8991275796788907
RP4-635E18.7		-0.0413500408024924	-0.0413500408024924	1	1.0
RP4-635E18.6	0.0166682925443534	0.164586363270199	0.09062732790727619	2	0.8643734051578603
MTOR	0.407596457242714	0.36293716653531	0.385266811889012	2	0.9677612353633849
ANGPTL7	-0.146136947283125	-0.110686306684738	-0.1284116269839315	2	0.9685835915275518
UBIAD1	0.0938194067038463	0.157991273938105	0.12590534032097564	2	0.9430042074265635
PTCHD2	0.200871714923529	0.358167320071475	0.27951951749750203	2	0.8770666621361225
FBXO2	0.683431054858481	2.58733802191763	1.6353845383880554	2	0.2775600906334216
FBXO44	0.432957825229483	-0.110961483082757	0.160998171073363	2	0.5315071790256335
FBXO6	0.291114388897325	0.251055071886269	0.27108473039179704	2	0.9684841489688039
MAD2L2	0.463917636663773	-0.158462520667009	0.152727557998382	2	0.4600804387712438
DRAXIN	0.10737588354312	-0.126721267115678	-0.009672691786278997	2	0.7681455063970868
AGTRAP	0.0689551542115871	-0.11816671972589	-0.024605782757151452	2	0.8173718350154695
C1orf167	-0.0979146218568022	-0.0725554883980398	-0.085235055127421	2	0.9766325890976818
MTHFR	0.253687390191131	-0.138120117088618	0.05778363655125651	2	0.6295957946965618
CLCN6	0.179228179009085	-0.181887706921792	-0.001329763956353494	2	0.6393636752551206
NPPA-AS1	0.417470162093071	0.16111097727651	0.2892905696847905	2	0.8011625999256038
KIAA2013	0.71736559914421	1.50944514943036	1.113405374287285	2	0.6252117270434844
