gene_symbol	n_ensembl_ids	retained_gene_id	selection_reason	all_ensembl_ids
HES5	2	ENSG00000197921	MANE Select canonical	ENSG00000197921; ENSG00000273529
HHAT	2	ENSG00000054392	MANE Select canonical	ENSG00000054392; ENSG00000280680
HLA-A	8	ENSG00000206503	MANE Select canonical	ENSG00000206503; ENSG00000206505; ENSG00000223980; ENSG00000224320; ENSG00000227715; ENSG00000229215; ENSG00000231834; ENSG00000235657
HLA-B	6	ENSG00000234745	MANE Select canonical	ENSG00000206450; ENSG00000223532; ENSG00000224608; ENSG00000228964; ENSG00000232126; ENSG00000234745
HLA-C	7	ENSG00000204525	MANE Select canonical	ENSG00000204525; ENSG00000206435; ENSG00000206452; ENSG00000225691; ENSG00000228299; ENSG00000233841; ENSG00000237022
HLA-DMA	8	ENSG00000204257	MANE Select canonical	ENSG00000204257; ENSG00000239463; ENSG00000241394; ENSG00000242361; ENSG00000242685; ENSG00000243189; ENSG00000243215; ENSG00000243719
HLA-DMB	8	ENSG00000242574	MANE Select canonical	ENSG00000226264; ENSG00000234154; ENSG00000239329; ENSG00000241296; ENSG00000241674; ENSG00000242092; ENSG00000242386; ENSG00000242574
HLA-DOA	7	ENSG00000204252	MANE Select canonical	ENSG00000204252; ENSG00000206292; ENSG00000230141; ENSG00000231558; ENSG00000232957; ENSG00000232962; ENSG00000235744
HLA-DOB	6	ENSG00000241106	MANE Select canonical	ENSG00000239457; ENSG00000241106; ENSG00000241386; ENSG00000241910; ENSG00000243496; ENSG00000243612
HLA-DPA1	8	ENSG00000231389	MANE Select canonical	ENSG00000168384; ENSG00000206291; ENSG00000224103; ENSG00000228163; ENSG00000229685; ENSG00000231389; ENSG00000235844; ENSG00000236177
HLA-DPB1	8	ENSG00000223865	MANE Select canonical	ENSG00000215048; ENSG00000223865; ENSG00000226826; ENSG00000229295; ENSG00000230708; ENSG00000230763; ENSG00000236693; ENSG00000237710
HLA-DQA1	6	ENSG00000196735	MANE Select canonical	ENSG00000196735; ENSG00000206305; ENSG00000225890; ENSG00000228284; ENSG00000232062; ENSG00000236418
HLA-DQA2	8	ENSG00000237541	MANE Select canonical	ENSG00000206301; ENSG00000223793; ENSG00000225103; ENSG00000231526; ENSG00000231823; ENSG00000233192; ENSG00000237541; ENSG00000257473
HLA-DQB1	7	ENSG00000179344	MANE Select canonical	ENSG00000179344; ENSG00000206237; ENSG00000206302; ENSG00000225824; ENSG00000231286; ENSG00000231939; ENSG00000233209
HLA-DQB2	8	ENSG00000232629	MANE Select canonical	ENSG00000196610; ENSG00000224305; ENSG00000226165; ENSG00000228254; ENSG00000228813; ENSG00000229493; ENSG00000230675; ENSG00000232629
HLA-DRA	8	ENSG00000204287	MANE Select canonical	ENSG00000204287; ENSG00000206308; ENSG00000226260; ENSG00000227993; ENSG00000228987; ENSG00000230726; ENSG00000234794; ENSG00000277263
HLA-DRB1	6	ENSG00000196126	MANE Select canonical	ENSG00000196126; ENSG00000206240; ENSG00000206306; ENSG00000228080; ENSG00000229074; ENSG00000236884
HLA-DRB3	3	ENSG00000231679	MANE Select canonical	ENSG00000196101; ENSG00000230463; ENSG00000231679
HLA-DRB4	3	ENSG00000231021	MANE Select canonical	ENSG00000227357; ENSG00000227826; ENSG00000231021
HLA-E	7	ENSG00000204592	MANE Select canonical	ENSG00000204592; ENSG00000206493; ENSG00000225201; ENSG00000229252; ENSG00000230254; ENSG00000233904; ENSG00000236632
HLA-F	7	ENSG00000204642	MANE Select canonical	ENSG00000137403; ENSG00000204642; ENSG00000206509; ENSG00000229698; ENSG00000234487; ENSG00000235220; ENSG00000237508
HLA-G	8	ENSG00000204632	MANE Select canonical	ENSG00000204632; ENSG00000206506; ENSG00000230413; ENSG00000233095; ENSG00000235346; ENSG00000235680; ENSG00000237216; ENSG00000276051
HMGN4	2	ENSG00000182952	MANE Select canonical	ENSG00000182952; ENSG00000292175
HMOX2	2	ENSG00000103415	MANE Select canonical	ENSG00000103415; ENSG00000277424
HMX1	2	ENSG00000215612	MANE Select canonical	ENSG00000215612; ENSG00000288204
HNF1B	2	ENSG00000275410	MANE Select canonical	ENSG00000275410; ENSG00000276194
HNRNPCL1	2	ENSG00000179172	MANE Select canonical	ENSG00000179172; ENSG00000282175
HNRNPCL2	4	ENSG00000275774	MANE Select canonical	ENSG00000274109; ENSG00000275774; ENSG00000282530; ENSG00000283370
HNRNPCL3	3	ENSG00000277058	MANE Select canonical	ENSG00000277058; ENSG00000282559; ENSG00000283292
HNRNPCL4	4	ENSG00000179412	MANE Select canonical	ENSG00000179412; ENSG00000273865; ENSG00000282095; ENSG00000283231
HNRNPH1	2	ENSG00000169045	MANE Select canonical	ENSG00000169045; ENSG00000284254
HNRNPL	2	ENSG00000104824	MANE Select canonical	ENSG00000104824; ENSG00000282947
HNRNPR	2	ENSG00000125944	MANE Select canonical	ENSG00000125944; ENSG00000282958
HPS5	2	ENSG00000110756	MANE Select canonical	ENSG00000110756; ENSG00000288445
HRAS	2	ENSG00000174775	MANE Select canonical	ENSG00000174775; ENSG00000276536
HS3ST6	2	ENSG00000162040	MANE Select canonical	ENSG00000162040; ENSG00000276333
HSD17B8	6	ENSG00000204228	MANE Select canonical	ENSG00000112474; ENSG00000204228; ENSG00000225312; ENSG00000228357; ENSG00000228712; ENSG00000232357
HSF1	2	ENSG00000185122	MANE Select canonical	ENSG00000185122; ENSG00000284774
HSPA1A	5	ENSG00000204389	MANE Select canonical	ENSG00000204389; ENSG00000215328; ENSG00000234475; ENSG00000235941; ENSG00000237724
HSPA1B	5	ENSG00000204388	MANE Select canonical	ENSG00000204388; ENSG00000212866; ENSG00000224501; ENSG00000231555; ENSG00000232804
HSPA1L	5	ENSG00000204390	MANE Select canonical	ENSG00000204390; ENSG00000206383; ENSG00000226704; ENSG00000234258; ENSG00000236251
HTN1	2	ENSG00000126550	MANE Select canonical	ENSG00000126550; ENSG00000283046
HTN3	2	ENSG00000205649	MANE Select canonical	ENSG00000205649; ENSG00000282967
HYOU1	2	ENSG00000149428	MANE Select canonical	ENSG00000149428; ENSG00000280682
IARS1	2	ENSG00000196305	MANE Select canonical	ENSG00000196305; ENSG00000291356
IBTK	2	ENSG00000005700	MANE Select canonical	ENSG00000005700; ENSG00000283068
ID3	2	ENSG00000117318	MANE Select canonical	ENSG00000117318; ENSG00000283060
IER3	6	ENSG00000137331	MANE Select canonical	ENSG00000137331; ENSG00000206478; ENSG00000227231; ENSG00000230128; ENSG00000235030; ENSG00000237155
IFI27	2	ENSG00000165949	MANE Select canonical	ENSG00000165949; ENSG00000275214
IFI27L1	2	ENSG00000165948	MANE Select canonical	ENSG00000165948; ENSG00000276880
IFI27L2	2	ENSG00000119632	MANE Select canonical	ENSG00000119632; ENSG00000276879
IFITM10	2	ENSG00000244242	MANE Select canonical	ENSG00000244242; ENSG00000281618
IFNGR2	2	ENSG00000159128	MANE Select canonical	ENSG00000159128; ENSG00000262795
IFNL1	2	ENSG00000182393	MANE Select canonical	ENSG00000182393; ENSG00000291872
IFNL2	2	ENSG00000183709	MANE Select canonical	ENSG00000183709; ENSG00000291875
IFNL3	2	ENSG00000197110	MANE Select canonical	ENSG00000197110; ENSG00000291876
IFNL4	2	ENSG00000292250	MANE Select canonical	ENSG00000272395; ENSG00000292250
IGSF6	2	ENSG00000140749	MANE Select canonical	ENSG00000140749; ENSG00000283934
IL27RA	2	ENSG00000104998	MANE Select canonical	ENSG00000104998; ENSG00000288185
IL3RA	2	ENSG00000185291	MANE Select canonical	ENSG00000185291; ENSG00000292332
IL9R	2	ENSG00000124334	MANE Select canonical	ENSG00000124334; ENSG00000292373
INO80D	2	ENSG00000114933	MANE Select canonical	ENSG00000114933; ENSG00000283510
INPP5D	2	ENSG00000168918	MANE Select canonical	ENSG00000168918; ENSG00000281614
INTS3	2	ENSG00000143624	MANE Select canonical	ENSG00000143624; ENSG00000262826
IPO4	2	ENSG00000196497	MANE Select canonical	ENSG00000196497; ENSG00000285248
IQANK1	2	ENSG00000203499	MANE Select canonical	ENSG00000203499; ENSG00000282685
IQGAP3	2	ENSG00000183856	MANE Select canonical	ENSG00000183856; ENSG00000291754
IQSEC3	2	ENSG00000120645	MANE Select canonical	ENSG00000120645; ENSG00000262607
IRF7	2	ENSG00000185507	MANE Select canonical	ENSG00000185507; ENSG00000276561
IRF9	2	ENSG00000213928	MANE Select canonical	ENSG00000213928; ENSG00000285048
ISLR	2	ENSG00000129009	MANE Select canonical	ENSG00000129009; ENSG00000288508
ITCH	2	ENSG00000078747	MANE Select canonical	ENSG00000078747; ENSG00000289720
ITGA9	2	ENSG00000144668	MANE Select canonical	ENSG00000144668; ENSG00000291488
ITPK1	2	ENSG00000100605	MANE Select canonical	ENSG00000100605; ENSG00000274958
KANSL1	3	ENSG00000120071	MANE Select canonical	ENSG00000120071; ENSG00000275867; ENSG00000278458
KAT6B	2	ENSG00000156650	MANE Select canonical	ENSG00000156650; ENSG00000281813
KBTBD11	2	ENSG00000176595	MANE Select canonical	ENSG00000176595; ENSG00000273645
KBTBD4	2	ENSG00000123444	MANE Select canonical	ENSG00000123444; ENSG00000284900
KCND1	2	ENSG00000102057	MANE Select canonical	ENSG00000102057; ENSG00000292214
KCNIP4	2	ENSG00000185774	MANE Select canonical	ENSG00000185774; ENSG00000281758
KCNMB2	2	ENSG00000197584	MANE Select canonical	ENSG00000197584; ENSG00000275163
KCNQ1	2	ENSG00000053918	MANE Select canonical	ENSG00000053918; ENSG00000282076
KCNQ2	2	ENSG00000075043	MANE Select canonical	ENSG00000075043; ENSG00000281151
KCNT2	2	ENSG00000162687	MANE Select canonical	ENSG00000162687; ENSG00000291999
KCTD11	2	ENSG00000213859	MANE Select canonical	ENSG00000213859; ENSG00000288399
KEL	2	ENSG00000197993	MANE Select canonical	ENSG00000197993; ENSG00000276615
KGD4	2	ENSG00000134056	MANE Select canonical	ENSG00000134056; ENSG00000278461
KIAA1143	2	ENSG00000163807	MANE Select canonical	ENSG00000163807; ENSG00000281665
KIF15	2	ENSG00000163808	MANE Select canonical	ENSG00000163808; ENSG00000280610
KIF26B	2	ENSG00000162849	MANE Select canonical	ENSG00000162849; ENSG00000281216
KIF5C	2	ENSG00000168280	MANE Select canonical	ENSG00000168280; ENSG00000276734
KIFC1	4	ENSG00000237649	MANE Select canonical	ENSG00000056678; ENSG00000204197; ENSG00000233450; ENSG00000237649
KIR2DL1	34	ENSG00000125498	MANE Select canonical	ENSG00000125498; ENSG00000273510; ENSG00000273794; ENSG00000274692; ENSG00000274782; ENSG00000274926; ENSG00000275080; ENSG00000275196; ENSG00000275276; ENSG00000275522; ENSG00000275750; ENSG00000276310; ENSG00000276387; ENSG00000276625; ENSG00000276820; ENSG00000277356; ENSG00000277616; ENSG00000277833; ENSG00000278207; ENSG00000278248; ENSG00000278495; ENSG00000278503; ENSG00000278738; ENSG00000278755; ENSG00000278805; ENSG00000278821; ENSG00000283723; ENSG00000284100; ENSG00000284145; ENSG00000284347; ENSG00000284401; ENSG00000284514; ENSG00000284530; ENSG00000284551
KIR2DL2	7	ENSG00000273578	MANE Select canonical	ENSG00000273578; ENSG00000273661; ENSG00000275546; ENSG00000275960; ENSG00000277251; ENSG00000277725; ENSG00000278692
KIR2DL3	31	ENSG00000243772	MANE Select canonical	ENSG00000243772; ENSG00000273887; ENSG00000273947; ENSG00000274108; ENSG00000274402; ENSG00000274410; ENSG00000274830; ENSG00000274952; ENSG00000275008; ENSG00000275623; ENSG00000275658; ENSG00000276218; ENSG00000276459; ENSG00000276590; ENSG00000277317; ENSG00000277484; ENSG00000277554; ENSG00000277924; ENSG00000278327; ENSG00000278369; ENSG00000283702; ENSG00000283708; ENSG00000283790; ENSG00000283996; ENSG00000284044; ENSG00000284132; ENSG00000284236; ENSG00000284241; ENSG00000284333; ENSG00000284504; ENSG00000284510
KIR2DL4	41	ENSG00000189013	MANE Select canonical	ENSG00000189013; ENSG00000273498; ENSG00000273575; ENSG00000274189; ENSG00000274193; ENSG00000274232; ENSG00000274609; ENSG00000274945; ENSG00000274955; ENSG00000275237; ENSG00000275317; ENSG00000275456; ENSG00000275699; ENSG00000275732; ENSG00000275848; ENSG00000276044; ENSG00000276779; ENSG00000276979; ENSG00000277076; ENSG00000277355; ENSG00000277362; ENSG00000277540; ENSG00000277750; ENSG00000277850; ENSG00000277964; ENSG00000278074; ENSG00000278201; ENSG00000278271; ENSG00000278430; ENSG00000278606; ENSG00000283869; ENSG00000283961; ENSG00000283986; ENSG00000284013; ENSG00000284206; ENSG00000284340; ENSG00000284365; ENSG00000284457; ENSG00000284460; ENSG00000284509; ENSG00000284562
KIR2DL5A	8	ENSG00000275596	MANE Select canonical	ENSG00000274143; ENSG00000274676; ENSG00000275596; ENSG00000276177; ENSG00000276392; ENSG00000276686; ENSG00000278116; ENSG00000288357
KIR2DL5B	6	ENSG00000274707	MANE Select canonical	ENSG00000274707; ENSG00000275436; ENSG00000275937; ENSG00000275946; ENSG00000278414; ENSG00000278481
