gene_id,gene_symbol,evidence_count,composite_null_preserve,composite_zero_impute,composite_median_impute,pctile_null_preserve,pctile_zero_impute,pctile_median_impute,rank_denominator_null_preserve,rank_denominator_zero_impute,rank_denominator_median_impute
ENSG00000173991,TCAP,5,0.5098120195233451,0.43334021659484334,0.43334021659484334,80.59641948835585,66.52557143568546,65.07146058463223,20053,20081,20081
ENSG00000134744,TUT4,6,0.5097920168994113,0.5097920168994113,0.5097920168994113,80.59143270333615,85.3493351924705,85.05054529156915,20053,20081,20081
ENSG00000133019,CHRM3,6,0.5097732242778646,0.5097732242778646,0.5097732242778646,80.58644591831646,85.34435536078881,85.04556545988746,20053,20081,20081
ENSG00000164051,CCDC51,6,0.5097265656525305,0.5097265656525305,0.5097265656525305,80.58145913329676,85.33937552910712,85.04058562820576,20053,20081,20081
ENSG00000239672,NME1,6,0.50971396947737,0.50971396947737,0.50971396947737,80.57647234827706,85.33439569742542,85.03560579652408,20053,20081,20081
ENSG00000137672,TRPC6,5,0.509702604747266,0.4332472140351762,0.4332472140351762,80.57148556325735,66.50565210895871,65.05154125790548,20053,20081,20081
ENSG00000087495,PHACTR3,6,0.5096919294455771,0.5096919294455771,0.5096919294455771,80.56649877823767,85.32941586574374,85.03062596484239,20053,20081,20081
ENSG00000137337,MDC1,6,0.5096831665917475,0.5096831665917475,0.5096831665917475,80.56151199321798,85.32443603406205,85.0256461331607,20053,20081,20081
ENSG00000114126,TFDP2,6,0.5096742965801078,0.5096742965801078,0.5096742965801078,80.55652520819827,85.31945620238037,85.02066630147901,20053,20081,20081
ENSG00000113569,NUP155,6,0.5096491415374733,0.5096491415374733,0.5096491415374733,80.55153842317857,85.31447637069867,85.01568646979733,20053,20081,20081
ENSG00000176788,BASP1,6,0.5096206939606865,0.5096206939606865,0.5096206939606865,80.54655163815887,85.30949653901698,85.01070663811564,20053,20081,20081
ENSG00000135144,DTX1,6,0.5096192885048049,0.5096192885048049,0.5096192885048049,80.54156485313918,85.30451670733528,85.00572680643394,20053,20081,20081
