gene_id,gene_symbol,animal_model_score,composite_score,quality_flag
ENSG00000009307,CSDE1,0.0,0.5487222964783545,sufficient_evidence
ENSG00000009335,UBE3C,0.2578372775561974,0.5504477777034602,sufficient_evidence
ENSG00000009413,REV3L,0.1760013228292627,0.5835325922531913,sufficient_evidence
ENSG00000009694,TENM1,0.0,0.48062471341108026,sufficient_evidence
ENSG00000009709,PAX7,0.0,0.44515437251952944,sufficient_evidence
ENSG00000009724,MASP2,0.0,0.45823629207522737,sufficient_evidence
ENSG00000009765,IYD,0.0,0.3911166634385488,sufficient_evidence
ENSG00000009780,FAM76A,0.0,0.2898981628775972,sufficient_evidence
ENSG00000009790,TRAF3IP3,0.0,0.3419594863568569,sufficient_evidence
ENSG00000009830,POMT2,0.1580921780559063,0.45737556920283123,sufficient_evidence
ENSG00000009844,VTA1,0.0,0.3962776030994829,sufficient_evidence
ENSG00000009950,MLXIPL,0.0,0.545484911663807,sufficient_evidence
ENSG00000009954,BAZ1B,0.08611373822105396,0.5803927434267483,sufficient_evidence
ENSG00000010017,RANBP9,0.11050169038122747,0.5611064888474975,sufficient_evidence
ENSG00000010030,ETV7,0.0,0.3009538284692762,sufficient_evidence
ENSG00000010072,SPRTN,0.06345398356623842,0.4282450409988561,sufficient_evidence
ENSG00000010165,METTL13,0.0,0.41348421719568157,sufficient_evidence
ENSG00000010219,DYRK4,0.0,0.3181903405136333,sufficient_evidence
ENSG00000010244,ZNF207,0.0,0.5083432743751348,sufficient_evidence
ENSG00000010256,UQCRC1,0.0,0.5319261777257116,sufficient_evidence
ENSG00000010270,STARD3NL,0.0,0.47574620253717254,sufficient_evidence
ENSG00000010278,CD9,0.0,0.522655372865979,sufficient_evidence
ENSG00000010282,HHATL,0.12301962603007709,0.5048506182847983,sufficient_evidence
ENSG00000010292,NCAPD2,0.11050169038122747,0.5434870090198874,sufficient_evidence
ENSG00000010295,IFFO1,0.0,0.5330205677379782,sufficient_evidence
ENSG00000010310,GIPR,0.0,0.32718673050075997,sufficient_evidence
ENSG00000010318,PHF7,0.0,0.3455436457029218,sufficient_evidence
ENSG00000010319,SEMA3G,0.0,0.4888246976877814,sufficient_evidence
ENSG00000010322,NISCH,0.06345398356623842,0.6459687803690644,sufficient_evidence
ENSG00000010327,STAB1,0.0,0.45352635337922276,sufficient_evidence
ENSG00000010361,FUZ,0.22208894248183444,0.5240867559944461,sufficient_evidence
ENSG00000010379,SLC6A13,0.0,0.3698872954952783,sufficient_evidence
ENSG00000010404,IDS,0.2578372775561974,0.6711219836503485,sufficient_evidence
ENSG00000010438,PRSS3,0.0,0.49917171366407925,sufficient_evidence
ENSG00000010539,ZNF200,0.0,0.4156495529561771,sufficient_evidence
ENSG00000010610,CD4,0.0,0.48875900484238466,sufficient_evidence
ENSG00000010626,LRRC23,0.1336033898166313,0.48373411739976496,sufficient_evidence
ENSG00000010671,BTK,0.04759048767467881,0.40037903956276194,sufficient_evidence
ENSG00000010704,HFE,0.0,0.38584460969250867,sufficient_evidence
ENSG00000010803,SCMH1,0.0,0.3833885957793791,sufficient_evidence
ENSG00000010810,FYN,0.1760013228292627,0.6498343597830396,sufficient_evidence
ENSG00000010818,HIVEP2,0.0,0.46938795748170725,sufficient_evidence
ENSG00000010932,FMO1,0.0,0.4921661097802936,sufficient_evidence
ENSG00000011007,ELOA,0.06345398356623842,0.5484607108486045,sufficient_evidence
ENSG00000011009,LYPLA2,0.0,0.4702188950677342,sufficient_evidence
ENSG00000011021,CLCN6,0.06345398356623842,0.5102735254359789,sufficient_evidence
ENSG00000011028,MRC2,0.0,0.5407937393390311,sufficient_evidence
ENSG00000011052,NME1-NME2,0.0,0.31590120610863326,sufficient_evidence
